date,large,medium,small
2012-01-31,155.99999999999997,134.5,112.37499999999994
2012-02-29,160.49999999999997,126.5,109.12499999999994
2012-03-31,167.99999999999997,124.375,109.24999999999994
2012-04-30,165.12499999999997,119.625,104.49999999999994
2012-05-31,167.37499999999997,115.125,103.99999999999994
2012-06-30,182.37499999999997,122.625,108.99999999999994
2012-07-31,166.99999999999997,124.75,111.49999999999994
2012-08-31,158.37499999999997,129.625,117.49999999999994
2012-09-30,158.87499999999997,131.5,121.24999999999994
2012-10-31,131.24999999999997,127.5,118.49999999999994
2012-11-30,140.87499999999997,123.75,114.49999999999994
2012-12-31,132.87499999999997,116.125,109.24999999999994
2013-01-31,127.87499999999997,109.0,104.74999999999994
2013-02-28,134.74999999999997,103.25,100.99999999999994
2013-03-31,126.49999999999997,101.5,100.49999999999994
2013-04-30,137.74999999999997,100.0,100.24999999999994
2013-05-31,138.24999999999997,99.125,99.24999999999994
2013-06-30,143.49999999999997,99.375,99.99999999999994
2013-07-31,159.74999999999997,101.875,103.49999999999994
2013-08-31,158.37499999999997,105.125,107.49999999999994
2013-09-30,162.12499999999997,111.25,111.99999999999994
2013-10-31,177.49999999999997,114.75,115.24999999999994
2013-11-30,167.74999999999997,113.75,112.99999999999994
2013-12-31,161.37499999999997,109.5,109.49999999999994
2014-01-31,162.74999999999997,104.0,105.24999999999994
2014-02-28,143.62499999999997,99.75,102.74999999999994
2014-03-31,146.62499999999997,98.75,103.49999999999994
2014-04-30,156.87499999999997,100.5,103.49999999999994
2014-05-31,157.74999999999997,101.25,103.99999999999994
2014-06-30,152.49999999999997,104.0,103.74999999999994
2014-07-31,148.24999999999997,104.5,100.99999999999994
2014-08-31,147.12499999999997,106.25,102.99999999999994
2014-09-30,147.99999999999997,109.75,104.49999999999994
2014-10-31,154.99999999999997,109.25,104.24999999999994
2014-11-30,163.24999999999997,109.25,102.99999999999994
2014-12-31,162.24999999999997,109.75,99.74999999999994
2015-01-31,168.87499999999997,109.25,98.49999999999994
2015-02-28,170.74999999999997,112.5,96.24999999999994
2015-03-31,163.99999999999997,117.25,100.24999999999994
2015-04-30,156.37499999999997,116.75,101.99999999999994
2015-05-31,146.12499999999997,112.0,100.74999999999994
2015-06-30,138.49999999999997,105.25,100.24999999999994
2015-07-31,135.24999999999997,97.0,97.24999999999994
2015-08-31,136.74999999999997,94.25,95.49999999999994
2015-09-30,138.87499999999997,96.25,97.49999999999994
2015-10-31,141.12499999999997,98.5,101.99999999999994
2015-11-30,142.12499999999997,100.0,102.74999999999994
2015-12-31,141.87499999999997,99.25,103.99999999999994
2016-01-31,138.99999999999997,96.5,101.99999999999994
2016-02-29,136.62499999999997,93.25,98.99999999999994
2016-03-31,135.87499999999997,92.0,99.74999999999994
2016-04-30,133.12499999999997,90.25,100.74999999999994
2016-05-31,135.37499999999997,90.75,100.49999999999994
2016-06-30,145.24999999999997,93.625,102.49999999999994
2016-07-31,156.49999999999997,96.875,104.49999999999994
2016-08-31,162.12499999999997,102.875,107.24999999999994
2016-09-30,164.99999999999997,107.375,112.49999999999994
2016-10-31,160.49999999999997,109.75,113.99999999999994
2016-11-30,147.24999999999997,108.25,110.24999999999994
2016-12-31,138.37499999999997,101.75,103.24999999999994
2017-01-31,125.74999999999997,94.75,96.24999999999994
2017-02-28,116.24999999999997,87.75,92.74999999999994
2017-03-31,115.99999999999997,83.25,91.99999999999994
2017-04-30,117.49999999999997,82.0,93.24999999999994
2017-05-31,123.37499999999997,83.0,93.74999999999994
2017-06-30,126.24999999999997,86.75,94.99999999999994
2017-07-31,126.24999999999997,89.25,95.99999999999994
2017-08-31,125.62499999999997,90.75,95.74999999999994
2017-09-30,124.24999999999997,93.75,99.24999999999994
2017-10-31,122.12499999999997,92.25,98.24999999999994
2017-11-30,118.62499999999997,90.5,96.87499999999994
2017-12-31,112.74999999999997,87.75,94.37499999999994
2018-01-31,106.87499999999997,82.5,88.12499999999994
2018-02-28,101.87499999999997,78.75,83.62499999999994
2018-03-31,95.37499999999997,76.25,79.99999999999994
2018-04-30,89.37499999999997,74.0,76.74999999999994
2018-05-31,85.62499999999997,71.25,73.24999999999994
2018-06-30,79.87499999999997,68.75,69.24999999999994
2018-07-31,77.12499999999997,67.0,65.99999999999994
2018-08-31,,,
2018-09-30,,,
