date,closing,listing,ratio
2007-12-31,172205.38,219184.09,78.57%
2008-12-31,159471.38,181400.60,87.91%
2009-12-31,143940.50,170818.94,84.26%
2010-12-31,137700.81,161983.33,85.01%
2011-12-31,121784.00,145470.83,83.72%
2012-12-31,119369.06,145262.92,82.17%
2013-12-31,143535.17,176864.58,81.16%
2014-12-31,156411.67,187766.04,83.30%
2015-12-31,171819.92,195629.48,87.83%
2016-12-31,189293.75,215732.81,87.74%
2017-12-31,204540.62,233043.44,87.77%
2018-12-31,209536.25,253273.62,82.73%
